04/02 YOGA X ACS,4 FEB,Lemon Grove,1.00
SCREENING OF 2001 A SPACE ODYSSEY AT CAMPUS CINEMA (8:30PM),4 FEB,The Theatre (M&D room),2.00
MEET TED! - PETS AS THERAPY,5 FEB,Devonshire House,FREE
GIVE IT A GO: PRESSED FLOWER ART,5 FEB,"G48, St Lukes Campus",FREE
POTLUCK,5 FEB,kingfisher student accomodation,FREE
CASUAL KARTING,5 FEB,Raceworld Indoor Karting,36.38
K-POP SOCIETY: CRAFTS NIGHT,5 FEB,Forum Seminar Room 12,2.40
MFL BALL (HISPANIC SOCIETY TICKETS),6 FEB,Reed Hall,39.00
BLACKPOOL FINAL PAYMENT,6 FEB,Lemon Grove,45.00
GIVE IT A GO: RAINBOW PAINTING - LGBTQ+ HISTORY MONTH,6 FEB,DH1 Devonshire House,FREE
INTERVIEW WITH CIVIL BARRISTER TANYA JONES,6 FEB,Europe/London,FREE
MODERN LANGUAGE BALL 2024,6 FEB,Reed Hall,39.00
MODERN LANGUAGES BALL - GERMAN SOCIETY,6 FEB,Reed Hall,39.00
SCREENING OF THE GRAND BUDAPEST HOTEL AT CAMPUS CINEMA (6:30PM),6 FEB,The Theatre (M&D room),2.00
MODERN LANGUAGE BALL 2024,6 FEB,Reed Hall,39.00
PIZZA AND QUIZ NIGHT,6 FEB,Old Firehouse Exeter,5.25
ACS X TIMEPIECE,6 FEB,Timepiece Nightclub,5.00
SCREENING OF THE GRAND BUDAPEST HOTEL AT CAMPUS CINEMA (8:30PM),6 FEB,The Theatre (M&D room),2.00
GIVE IT A GO: FRIENDSHIP/ERAS TOUR BRACELET MAKING!,7 FEB,DH1 Devonshire House,FREE
LGBTQ+ HISTORY MONTH FILM SCREENING - PRIDE,7 FEB,"The Theatre, Devonshire House 1",FREE
NDSS ARTS & CRAFTS,7 FEB,Forum Seminar Room 10,FREE
DIVINATION CLASS: TEA LEAF READING!,7 FEB,Forum Seminar Room 2,1.00
LGBTQ+ PUB QUIZ AT THE OLD FIREHOUSE!,7 FEB,The old Firehouse,5.00
GIVE IT A GO: VALENTINE'S CARD MAKING,8 FEB,DH1 Devonshire House,FREE
ANTI-LONELINESS CAFE,8 FEB,Peter Chalk 2.2,FREE
HENKEL - WOMEN IN BUSINESS,8 FEB,Building One: Matrix Lecture Theatre,FREE
GAMES SOCIETY'S WARHAMMER 40K TOURNAMENT 2024,8 FEB,Forum Seminar Rooms 9 & 12,2.99
JUGGLE AND FLOW - CIRCUS SKILLS EXCHANGE,8 FEB,Lemon Grove | Main Room,
PIZZA AND POLICY,8 FEB,The Old Firehouse Exeter,4.50
MEDTECH&BIOPHARMA NETWORKING EVENT,8 FEB,Reed Hall (Woodbridge Room),FREE
EUSO AND EUSWO TICKETS FOR BSO CONCERT,8 FEB,"The Great Hall, University of Exeter",FREE
HUMANITIES TRAFFIC LIGHT MIXER,8 FEB,Revolution Exeter,FREE
GIVE IT A GO: RED ENVELOPE MAKING,9 FEB,DH1 Devonshire House,FREE
FLATMATE FINDER,9 FEB,"Ground Floor, Devonshire House",FREE
ROCK CLIMBING WITH SISYPHUS,9 FEB,The Quay Climbing Centre,10.00
SCREENING LORD OF THE RINGS: THE FELLOWSHIP OF THE RING (EXTENDED EDITION) (7PM),9 FEB,The Theatre (M&D room),2.00
COMPETITION TEAM ENTRY,10 FEB,"Southampton, UK",20.00
SUDA COMPETITION,10 FEB,Lemon Grove,10.00
ANNUAL SOUTH WEST PAEDIATRIC CONFERENCE 2024,10 FEB,RILD Building Royal Devon and Exeter Hospital (Wonford) Barrack Road Exeter EX2 5DW,2.00
GIVE IT A GO: IBOUNCE,10 FEB,iBounce Exeter,10.00
PHOTOSOC TOPSHAM PHOTOWALK,10 FEB,Exeter St Davids Station,FREE
VIETSOC LUNAR NEW YEAR 2024,10 FEB,"The Terrace, University of Exeter Students' Guild",18.50
SCREENING OF LORD OF THE RINGS: THE TWO TOWERS (EXTENDED EDITION) (7PM),10 FEB,The Theatre (M&D room),2.00
GALENTINES DAY,10 FEB,Atlas House,3.00
LGBTQ+ SOCIETY BOARD GAMES,11 FEB,Clifton Road Games,3.00
SCREENING OF LORD OF THE RINGS: THE RETURN OF THE KING (EXTENDED EDITION) (7PM),11 FEB,The Theatre (M&D room),2.00
RAG AND XMEDIA MATCHMAKERS 2024,11 FEB,Revolution Exeter,3.00
ICCAS AFTERPARTY!!,11 FEB,"Unit 1, Exeter",2.00
GIVE IT A GO: VALENTINE'S CARD MAKING,12 FEB,"G48, St Lukes Campus",FREE
EXETER STAR & WOMEN'S CRICKET 'STAR WEEK' PUB QUIZ!,12 FEB,The Cocktail Club - Exeter,3.00
THE PHOENIX RISES,12 FEB,The Exeter phoenix,9.00
GIVE IT A GO: PRESSED FLOWER ART,13 FEB,DH1 Devonshire House,FREE
NDSS DISCUSSION GROUP: DISABILITY AND RELATIONSHIPS,13 FEB,Forum Seminar Room 10,FREE
CATHSOC SPRING BALL,13 FEB,"Catholic Chaplaincy, Boniface House",20.00
SCREENING OF WHEN HARRY MET SALLY AT CAMPUS CINEMA (6:30PM),13 FEB,The Theatre (M&D room),2.00
TAKE ME OUT - VALENTINES SPECIAL!,13 FEB,"Forum Auditorium, Streatham Campus",3.50
EXETER DOES STRICTLY 2024,13 FEB,University of Exeter Great Hall and Devonshire Hall,7.00
SCREENING OF WHEN HARRY MET SALLY AT CAMPUS CINEMA (8:30PM),13 FEB,The Theatre (M&D room),2.00
EXETER SPEAK EASY STASH COMMITTEE 23/24,14 FEB,The Imperial,18.00
GIVE IT A GO: BADGE MAKING - LGBTQ+ HISTORY MONTH,15 FEB,DH1 Devonshire House,FREE
JUGGLE AND FLOW - CIRCUS SKILLS EXCHANGE,15 FEB,Lemon Grove | Main Room,
MEET EDDIE! - PETS AS THERAPY,16 FEB,Devonshire House,FREE
GIVE IT A GO: RESIN COASTERS,16 FEB,DH1 Devonshire House,FREE
EMPOWERHER MOVIE NIGHT: A CELEBRATION OF WOMEN'S STRENGTH AND RESILIENCE,16 FEB,"The Theatre, Devonshire House 1",FREE
EUSO/EUSWO/EUCO TOUR TO COLOGNE (FINAL),17 FEB,Brussels,230.00
HACK SOUTH WEST,17 FEB,Innovation Centre,FREE
SCREENING OF PRISCILLA AT CAMPUS CINEMA (6PM),18 FEB,The Theatre (M&D room),2.00
CAN’T TAKE MY EYES OFF EUBB,18 FEB,The Monkey Suit,3.00
SCREENING OF PRISCILLA AT CAMPUS CINEMA (8:30PM),18 FEB,The Theatre (M&D room),2.00
GIVE IT A GO: SOAP MAKING,19 FEB,DH1 (Devonshire House),FREE
FLATMATE FINDER,19 FEB,"Ground Floor, Devonshire House",FREE
-,20 FEB,"The Grange Kitchen, Birks Grange Village",1.00
LGBTQ+ HISTORY MONTH QUIZ FOR THE INTERCOM TRUST,21 FEB,Imperial Wetherspoons,3.00
TOUR STASH,22 FEB,Dublin,25.44
GIVE IT A GO: TOTE BAG DECORATING,22 FEB,"G48, St Lukes Campus",FREE
DUBLIN TOUR,22 FEB,Generator Dublin,50.00
GIVE IT A GO: POSTER MAKING!,23 FEB,DH1 Devonshire House,FREE
JUGGLE AND FLOW - CIRCUS SKILLS EXCHANGE,23 FEB,Lemon Grove | Main Room,
HALFWAY BALL TP AFTERPARTY TICKETS,24 FEB,Timepiece,6.00
GIVE IT A GO: RESIN COASTERS,27 FEB,"G48, St Lukes Campus",FREE
"COMMUNITY BOOK CLUB: GIRL, WOMAN, OTHER",28 FEB,Devonshire House - The Greenhouse,FREE
GIVE IT A GO: NOTEBOOK DECORATING,29 FEB,Devonshire House,FREE
NDSS PRESENTATION NIGHT!,29 FEB,Forum Seminar Room 1,FREE
JUGGLE AND FLOW - CIRCUS SKILLS EXCHANGE,29 FEB,Lemon Grove | Main Room,
JUGGLE AND FLOW - CIRCUS SKILLS EXCHANGE,7 MAR,Lemon Grove | Main Room,
EAFS STASH DROP!,8 MAR,"University Of Exeter Campus, Exeter EX4 4RN",6.00
JUGGLE AND FLOW - CIRCUS SKILLS EXCHANGE,14 MAR,Lemon Grove | Main Room,
JUGGLE AND FLOW - CIRCUS SKILLS EXCHANGE,21 MAR,Lemon Grove | Main Room,
BALLROOM & LATIN: MEMBERS BULK TICKET,28 MAR,Lemon Grove,22.50
JUGGLE AND FLOW - CIRCUS SKILLS EXCHANGE,28 MAR,Lemon Grove | Main Room,
